pair_id,acceptable,distance,relation_type,user_fact_assertion,explicit_contradiction,advice_or_diagnosis,clearly_unrelated,confidence,reason
E001/L105,true,just_right,analogical_transfer,false,false,false,false,medium,The full vessel still looking for another drop maps the chosen option and attention to what remains.
E001/L005,false,too_close,direct_restatement,false,false,false,false,high,It nearly restates that the act of choosing leaves a remainder.
E001/L101,false,too_far,weak_connection,false,false,false,false,medium,Unowned expectation and the unchosen alternative share only a broad sense of weight.
E002/L014,true,just_right,same_domain,false,false,false,false,medium,Imagining the future revealing the present self connects to uncertainty about one's actual preference.
E002/L101,true,just_right,same_domain,false,false,false,false,medium,An expectation without a clear owner maps to pressure that obscures the writer's own wish.
E004/L011,false,too_far,weak_connection,false,false,false,false,medium,A recurring morning does not give a discoverable bridge to fear of an overlooked preparation item.
E005/L065,false,too_far,weak_connection,false,false,false,false,medium,Delayed adaptation to change only loosely connects to anticipating cascading schedule disruption.
E005/L012,true,just_right,same_domain,false,false,false,false,medium,An unfinished shape gives useful space around uncertainty before anything has happened.
E006/L055,true,just_right,same_domain,false,false,false,false,medium,One negative changing the count illuminates how equally balanced evidence can still feel uneven.
E006/L023,true,just_right,analogical_transfer,false,false,false,false,medium,Two views from the same seat map different readings of the same evidence.
E007/L066,true,just_right,analogical_transfer,false,false,false,false,low,The residual shape after release may illuminate warmth without wanting another appointment but the bridge is ambiguous.
E007/L031,true,just_right,same_domain,false,false,false,false,high,It opens reflection on a distance present even during an enjoyable meeting.
E007/L091,false,not_obserbing,unrelated,false,false,false,true,high,Turning today into a calendar page does not connect to enjoying a meeting without seeking the next one.
E008/L064,false,too_far,weak_connection,false,false,false,false,medium,Both involve later reconsideration but the Line's changed desired form lacks a clear conversational bridge.
E008/L107,false,too_far,weak_connection,false,false,false,false,low,Expectation might map to waiting for one's turn but the ownership and structural connection remain ambiguous.
E008/L112,false,not_obserbing,unrelated,false,false,false,true,high,A missing light changing road length has no discoverable bridge to mistaking turn-waiting for listening.
E009/L034,true,just_right,same_domain,false,false,false,false,high,A variable measure of closeness directly opens the Entry's tension without completing it.
E009/L038,true,just_right,same_domain,false,false,false,false,high,A pause distinguishing continuity from rupture meaningfully reframes uncertainty about staying close.
E010/L007,true,just_right,analogical_transfer,false,false,false,false,medium,A closing door whose sound remains maps withdrawal and the lingering meaning of an unanswered message.
E010/L082,false,too_close,direct_restatement,false,false,false,false,medium,Quiet revealing the distance of one's voice closely paraphrases the Entry's quiet distance.
E010/L031,true,just_right,same_domain,false,false,false,false,medium,It broadens the stated distance beyond simple physical separation without prescribing an answer.
E011/L021,false,too_far,weak_connection,false,false,false,false,medium,Voices remaining after conversation only loosely connect to concern about saying nothing.
E011/L085,true,just_right,analogical_transfer,false,false,false,false,low,Empty seats not equaling loneliness may map comfortable intimacy and a troubling silence but the connection is ambiguous.
E011/L032,false,too_close,direct_restatement,false,false,false,false,high,Unreturned words creating quiet closely restates the unspoken communication in the Entry.
