pair_id,acceptable,distance,relation_type,user_fact_assertion,explicit_contradiction,advice_or_diagnosis,clearly_unrelated,confidence,reason
E001/L001,false,too_close,direct_restatement,false,false,false,false,high,選ばなかった選択肢が残るというEntryの意味をほぼそのまま比喩化している
E001/L083,true,just_right,analogical_transfer,false,false,false,false,high,案から人物へ領域を移しながら選んだものにも選ばなかったものの気配が残る構造を保つ
E002/L064,false,too_far,weak_connection,false,false,false,false,medium,返答前に希望を見失う状態と変化後に希望を見直す状態には時点と構造の隔たりが大きい
E002/L073,false,not_obserbing,unrelated,false,false,false,true,high,返答への迷いと名前による終わりの輪郭に合理的な接続を見つけにくい
E003/L008,false,too_close,direct_restatement,false,false,false,false,high,決めたが確定しきらないという短いEntryをほぼ直接言い換える
E003/L018,true,just_right,analogical_transfer,false,false,false,false,medium,仮の決定に残る疑いを見落とし探しが発見済みのものまで疑わせる構造へ移している
E004/L008,false,too_far,weak_connection,false,false,false,false,medium,準備後の見落とし不安と決めかけた言葉の余白は不確実さ以外の橋が弱い
E004/L092,false,too_far,weak_connection,false,false,false,false,low,当日直前の不安と待ち時間の終端変化は読めるが接続に補足が多く必要になる
E005/L097,true,just_right,same_domain,false,false,false,false,medium,未来のずれを見続ける間にもまだ無事な現在が過ぎるという時間上の緊張を照らす
E005/L107,true,just_right,analogical_transfer,false,false,false,false,high,まだ起きていない予期が現在へ影を落とす構造を影と持ち主へ転写する
E005/L117,true,just_right,analogical_transfer,false,false,false,false,low,未来へ注意が偏る間も現在が進むことを湯気を待つ短い時間へ転写できる
E006/L044,false,not_obserbing,unrelated,false,false,false,true,high,相反する根拠の釣り合いと仕事の区切りを光で測ることに接続がない
E006/L045,true,just_right,analogical_transfer,false,false,false,false,high,成功と失敗の根拠が拮抗する状態を反対しないことと賛成しないことの間へ転写する
E007/L008,false,too_far,weak_connection,false,false,false,false,medium,楽しかったが次を望まない関係と決めかけた言葉は保留以外の対応が弱い
E007/L027,false,too_close,direct_restatement,false,false,false,false,high,楽しい共有時間が次の約束を必要としないというEntryの内容を直接まとめる
E008/L021,false,too_far,weak_connection,false,false,false,false,low,聞くより話す番を待っていた自己認識と会話後に残る複数の声の対応が曖昧である
E008/L025,false,too_close,direct_restatement,false,false,false,false,high,聞いていたことと話すのを待っていたことの差をEntryと同じ語で言い換える
E008/L032,true,just_right,analogical_transfer,false,false,false,false,medium,発しなかった自分の言葉への待機を返さなかった言葉が作る静かな場所として照らす
