dataset,display_id,entry_id,repetition,line_id,blind_sample
abstraction_only_issue36,A-E001-R1,E001,1,L001,true
abstraction_only_issue36,A-E001-R2,E001,2,L001,true
abstraction_only_issue36,A-E001-R3,E001,3,L083,true
abstraction_only_issue36,A-E002-R1,E002,1,L073,true
abstraction_only_issue36,A-E002-R2,E002,2,L064,true
abstraction_only_issue36,A-E002-R3,E002,3,L064,true
abstraction_only_issue36,A-E003-R1,E003,1,L018,true
abstraction_only_issue36,A-E003-R2,E003,2,L008,true
abstraction_only_issue36,A-E003-R3,E003,3,L018,true
abstraction_only_issue36,A-E004-R1,E004,1,L092,true
abstraction_only_issue36,A-E004-R2,E004,2,L008,true
abstraction_only_issue36,A-E004-R3,E004,3,L092,true
abstraction_only_issue36,A-E005-R1,E005,1,L097,true
abstraction_only_issue36,A-E005-R2,E005,2,L117,true
abstraction_only_issue36,A-E005-R3,E005,3,L107,true
abstraction_only_issue36,A-E006-R1,E006,1,L045,true
abstraction_only_issue36,A-E006-R2,E006,2,L044,true
abstraction_only_issue36,A-E006-R3,E006,3,L044,true
abstraction_only_issue36,A-E007-R1,E007,1,L027,true
abstraction_only_issue36,A-E007-R2,E007,2,L008,true
abstraction_only_issue36,A-E007-R3,E007,3,L027,true
abstraction_only_issue36,A-E008-R1,E008,1,L032,true
abstraction_only_issue36,A-E008-R2,E008,2,L021,true
abstraction_only_issue36,A-E008-R3,E008,3,L025,true
abstraction_only_issue36,A-E009-R1,E009,1,L045,true
abstraction_only_issue36,A-E009-R2,E009,2,L006,true
abstraction_only_issue36,A-E009-R3,E009,3,L036,true
abstraction_only_issue36,A-E010-R1,E010,1,L024,true
abstraction_only_issue36,A-E010-R2,E010,2,L032,true
abstraction_only_issue36,A-E010-R3,E010,3,L087,true
abstraction_only_issue36,A-E011-R1,E011,1,L087,true
abstraction_only_issue36,A-E011-R2,E011,2,L087,true
abstraction_only_issue36,A-E011-R3,E011,3,L028,true
abstraction_only_issue36,A-E012-R1,E012,1,L031,true
abstraction_only_issue36,A-E012-R2,E012,2,L031,true
abstraction_only_issue36,A-E012-R3,E012,3,L036,true
abstraction_only_issue36,A-E013-R1,E013,1,L048,true
abstraction_only_issue36,A-E013-R2,E013,2,L012,true
abstraction_only_issue36,A-E013-R3,E013,3,L048,true
abstraction_only_issue36,A-E014-R1,E014,1,L045,true
abstraction_only_issue36,A-E014-R2,E014,2,L118,true
abstraction_only_issue36,A-E014-R3,E014,3,L045,true
abstraction_only_issue36,A-E015-R1,E015,1,L096,true
abstraction_only_issue36,A-E015-R2,E015,2,L041,true
abstraction_only_issue36,A-E015-R3,E015,3,L096,true
abstraction_only_issue36,A-E016-R1,E016,1,L021,true
abstraction_only_issue36,A-E016-R2,E016,2,L058,true
abstraction_only_issue36,A-E016-R3,E016,3,L054,true
abstraction_only_issue36,A-E017-R1,E017,1,L057,true
abstraction_only_issue36,A-E017-R2,E017,2,L056,true
abstraction_only_issue36,A-E017-R3,E017,3,L051,true
abstraction_only_issue36,A-E018-R1,E018,1,L052,true
abstraction_only_issue36,A-E018-R2,E018,2,L001,true
abstraction_only_issue36,A-E018-R3,E018,3,L052,true
abstraction_only_issue36,A-E019-R1,E019,1,L027,true
abstraction_only_issue36,A-E019-R2,E019,2,L074,true
abstraction_only_issue36,A-E019-R3,E019,3,L017,true
abstraction_only_issue36,A-E020-R1,E020,1,L072,true
abstraction_only_issue36,A-E020-R2,E020,2,L077,true
abstraction_only_issue36,A-E020-R3,E020,3,L018,true
abstraction_only_issue36,A-E021-R1,E021,1,L064,true
