band,a_min,s_max,top_n,selector,entry_id,repetition,eligible_count,status,selected_line_id,seed,reproducible,selected_weight,minimum_weight,maximum_weight,maximum_weight_ratio,selected_abstraction_similarity,selected_surface_similarity,selected_domain_primary
primary,0.425,0.425,10,uniform,E001,1,7,line,L105,10418858375838657071,true,1.0,1.0,1.0,1.0,0.45954306,0.31184876,expectation
primary,0.425,0.425,10,uniform,E001,2,7,line,L008,9586743709219150784,true,1.0,1.0,1.0,1.0,0.51076583,0.33863505,choice
primary,0.425,0.425,10,uniform,E001,3,7,line,L077,592022256592927774,true,1.0,1.0,1.0,1.0,0.47823804,0.34014468,loss
primary,0.425,0.425,10,uniform,E002,1,6,line,L014,1815355824330082398,true,1.0,1.0,1.0,1.0,0.49814276,0.35131283,uncertainty
primary,0.425,0.425,10,uniform,E002,2,5,line,L101,18076360836035844122,true,1.0,1.0,1.0,1.0,0.45774265,0.32990119,expectation
primary,0.425,0.425,10,uniform,E002,3,5,line,L033,3549279955528802194,true,1.0,1.0,1.0,1.0,0.50902639,0.15610312,relationship
primary,0.425,0.425,10,uniform,E003,1,9,line,L004,9795306835945811074,true,1.0,1.0,1.0,1.0,0.55661925,0.17748176,choice
primary,0.425,0.425,10,uniform,E003,2,5,line,L057,17565425801133371163,true,1.0,1.0,1.0,1.0,0.43294838,0.23557381,failure
primary,0.425,0.425,10,uniform,E003,3,9,line,L004,14691705969429648236,true,1.0,1.0,1.0,1.0,0.52711788,0.17748176,choice
primary,0.425,0.425,10,uniform,E004,1,6,line,L046,7307250828110910356,true,1.0,1.0,1.0,1.0,0.46008485,0.4008016,work
primary,0.425,0.425,10,uniform,E004,2,6,line,L015,1221977699985596942,true,1.0,1.0,1.0,1.0,0.42634336,0.33712419,uncertainty
primary,0.425,0.425,10,uniform,E004,3,6,line,L011,14426421530041133937,true,1.0,1.0,1.0,1.0,0.49460933,0.38158767,uncertainty
primary,0.425,0.425,10,uniform,E005,1,5,line,L107,7282619217601536890,true,1.0,1.0,1.0,1.0,0.51433535,0.35910134,expectation
primary,0.425,0.425,10,uniform,E005,2,7,line,L055,15748930167514970636,true,1.0,1.0,1.0,1.0,0.47846763,0.3950313,failure
primary,0.425,0.425,10,uniform,E005,3,6,line,L012,16753612837345930773,true,1.0,1.0,1.0,1.0,0.48708478,0.35046519,uncertainty
primary,0.425,0.425,10,uniform,E006,1,6,line,L055,10262907433805545832,true,1.0,1.0,1.0,1.0,0.46116804,0.31585709,failure
primary,0.425,0.425,10,uniform,E006,2,4,line,L023,18042843141699994572,true,1.0,1.0,1.0,1.0,0.49999514,0.35435937,relationship
primary,0.425,0.425,10,uniform,E006,3,4,line,L023,1163312150509658095,true,1.0,1.0,1.0,1.0,0.49999514,0.35435937,relationship
primary,0.425,0.425,10,uniform,E007,1,9,line,L071,1123868814260843555,true,1.0,1.0,1.0,1.0,0.55672482,0.36771435,loss
primary,0.425,0.425,10,uniform,E007,2,9,line,L022,17707032008760263518,true,1.0,1.0,1.0,1.0,0.45749242,0.29381087,relationship
primary,0.425,0.425,10,uniform,E007,3,9,line,L076,15890260528026092210,true,1.0,1.0,1.0,1.0,0.46465665,0.24737956,loss
primary,0.425,0.425,10,uniform,E008,1,2,line,L064,9089463680271204443,true,1.0,1.0,1.0,1.0,0.46620368,0.41759224,change
primary,0.425,0.425,10,uniform,E008,2,4,line,L101,1622075943198844954,true,1.0,1.0,1.0,1.0,0.42650536,0.34201367,expectation
primary,0.425,0.425,10,uniform,E008,3,3,line,L082,10835537203951822082,true,1.0,1.0,1.0,1.0,0.4420239,0.35274282,self
primary,0.425,0.425,10,uniform,E009,1,5,line,L045,15737626019537287687,true,1.0,1.0,1.0,1.0,0.45764067,0.33597565,work
primary,0.425,0.425,10,uniform,E009,2,3,line,L034,7017005612764680389,true,1.0,1.0,1.0,1.0,0.47160783,0.18616093,relationship
primary,0.425,0.425,10,uniform,E009,3,7,line,L045,16654790029986043526,true,1.0,1.0,1.0,1.0,0.54551964,0.33597565,work
primary,0.425,0.425,10,uniform,E010,1,7,line,L007,7474984048184739343,true,1.0,1.0,1.0,1.0,0.45563553,0.26188547,choice
primary,0.425,0.425,10,uniform,E010,2,5,line,L087,13968013845702785015,true,1.0,1.0,1.0,1.0,0.6279804,0.39540397,self
primary,0.425,0.425,10,uniform,E010,3,7,line,L031,2342842644922167404,true,1.0,1.0,1.0,1.0,0.4930794,0.35939074,relationship
primary,0.425,0.425,10,uniform,E011,1,6,line,L021,15445412766682343378,true,1.0,1.0,1.0,1.0,0.45114529,0.29820927,relationship
