blind_case_id,entry_text,option_a_text,option_a_acceptable,option_b_text,option_b_acceptable,option_c_text,option_c_acceptable,overall_preference,notes
S001,"もう使わない場所の写真を消した。
容量はほとんど変わらなかった。
消したという事実だけが少し大きい。",進捗のない日にも、使われた時間の跡はある。,,直した跡は、間違いがあった場所だけに残る。,,,,,
S002,"予定が一つ変わっただけなのに、その先も全部ずれる気がする。

実際にはまだ何も起きていない。",同じ道の景色が変わると、歩幅も少し変わる。,,できなかった一つは、数え方を変える力が強い。,,,,,
S003,なくした鍵は見つかった。でも探していた二時間だけがまだ戻ってこない感じがする。,新しいものの箱には、古いものの時間も入る。,,失敗のあとに普通の声がすると、世界の続きが見える。,,,,,
S004,失敗した場面より、そのあと普通に話しかけられたことの方を何度も思い出す。,過ぎたあとで長くなる時間もある。,,できたことは静かで、できなかったことはよく響く。,,,,,
S005,一人で食べるのは平気だった。おいしかったと誰にも言わないのが少しだけ残った。,手放した場所に、手の形だけがしばらく残る。,,小さな欠けは、広い面の中でよく光る。,,,,,
S006,"待ち時間が長いと思っていた。
順番が来たら、もう少し待っていてもよかった気がした。",地図の端は、道の端とは限らない。,,遠くから見える輪郭もある。,,,,,
S007,準備はしたけれど、当日になったら何か見落としている気がしてきた。,先の予定をめくる指の下で、今日も一枚になっていく。,,まだ起きていないことにも、影はできる。,,,,,
S008,決めた。たぶん。,わからなさは、空白ではなく形の途中かもしれない。,,見つからなかった間違いと、見つけた自分は同時にいる。,,,,,
S009,"帰り道の店が閉まっていた。
困らなかったけれど、いつも明るかった場所が暗いと道が少し短く感じた。",よく乾いた布には、その日の光が少し残る。,,過ぎたあとで長くなる時間もある。,,,,,
S010,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,捨てなかった箱は、まだ決めていない時間を守る。,,終えた三つより、始めなかった一つは声が大きい。,,,,,
S011,"もう使わない場所の写真を消した。
容量はほとんど変わらなかった。
消したという事実だけが少し大きい。",更新されたものには、更新されなかった部分がよく見える。,,見つからなかった間違いと、見つけた自分は同時にいる。,,,,,
S012,離れてみて、遠かったのか近すぎたのか、まだわからない。,静かな日は、自分の声の距離がよくわかる。,,空いた席は、不在より先に距離を語る。,,,,,
S013,嫌いではない。それだけでは近くにいる理由にならないのかもしれない。,反対しなかった声も、賛成の中には溶けきらない。,,離れたあとで、近すぎた音が聞こえる。,,,,,
S014,うまくいく根拠も、だめな根拠も同じくらいある。,反対しなかった声も、賛成の中には溶けきらない。,,同じ席にいても、見ている窓は違う。,,,,,
S015,準備はしたけれど、当日になったら何か見落としている気がしてきた。,失敗のあとに普通の声がすると、世界の続きが見える。,,終わった項目の間に、一日の形が隠れている。,,,,,
S016,昔は長かった一年を、今は予定表の十二枚として見ている。,慣れは、変化より少し遅れて到着する。,,区切りは、仕事の量より光の変化に似ている。,,,,,
S017,特に何もなかったことを、今日はわざわざ覚えておきたい。,更新されたものには、更新されなかった部分がよく見える。,,慣れは、変化より少し遅れて到着する。,,,,,
