dataset,display_id,entry_id,repetition,line_id,old_acceptable,old_distance,old_clearly_unrelated,old_fatal_grounding_mismatch,old_judge
abstraction_only_issue36,A-E001-R1,E001,1,L001,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E001-R2,E001,2,L001,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E001-R3,E001,3,L083,false,not_obserbing,false,true,openai_blind_preliminary_plus_codex_critical_review
abstraction_only_issue36,A-E002-R1,E002,1,L073,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E002-R2,E002,2,L064,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E002-R3,E002,3,L064,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E003-R1,E003,1,L018,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E003-R2,E003,2,L008,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E003-R3,E003,3,L018,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E004-R1,E004,1,L092,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E004-R2,E004,2,L008,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E004-R3,E004,3,L092,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E005-R1,E005,1,L097,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E005-R2,E005,2,L117,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E005-R3,E005,3,L107,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E006-R1,E006,1,L045,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E006-R2,E006,2,L044,false,too_far,true,false,openai_blind_preliminary
abstraction_only_issue36,A-E006-R3,E006,3,L044,false,too_far,true,false,openai_blind_preliminary
abstraction_only_issue36,A-E007-R1,E007,1,L027,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E007-R2,E007,2,L008,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E007-R3,E007,3,L027,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E008-R1,E008,1,L032,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E008-R2,E008,2,L021,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E008-R3,E008,3,L025,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E009-R1,E009,1,L045,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E009-R2,E009,2,L006,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E009-R3,E009,3,L036,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E010-R1,E010,1,L024,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E010-R2,E010,2,L032,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E010-R3,E010,3,L087,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E011-R1,E011,1,L087,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E011-R2,E011,2,L087,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E011-R3,E011,3,L028,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E012-R1,E012,1,L031,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E012-R2,E012,2,L031,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E012-R3,E012,3,L036,true,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E013-R1,E013,1,L048,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E013-R2,E013,2,L012,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E013-R3,E013,3,L048,true,just_right,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E014-R1,E014,1,L045,false,too_close,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E014-R2,E014,2,L118,true,too_far,false,false,openai_blind_preliminary
abstraction_only_issue36,A-E014-R3,E014,3,L045,false,too_close,false,false,openai_blind_preliminary
