pair_id,entry_id,line_id,entry_text,line_text,selection_occurrences,configuration_count,label_source,judge,provisional,acceptable,distance,relation_type,confidence,low_confidence,user_fact_assertion,explicit_contradiction,advice_or_diagnosis,clearly_unrelated,reason
E001/L004,E001,L004,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,分かれ道は、通り過ぎても消えない。,304,190,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,same_domain,medium,false,false,false,false,false,Codex provisional: the Line meaning '選択の記憶' provides a usable reflective bridge without merely restating the Entry.
E001/L005,E001,L005,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,答えより先に、選んだという事実が残る。,304,224,b_v2_integrated_codex_judgments_v1,codex_integrated_v1,true,false,too_close,direct_restatement,high,false,false,false,false,false,It nearly restates that the act of choosing leaves a remainder.
E001/L006,E001,L006,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,どちらにも理由がある日は、理由だけでは動かない。,48,48,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,low,true,false,false,false,false,"Codex provisional: the Line meaning '根拠の均衡' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L008,E001,L008,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,決めかけた言葉には、まだ余白がある。,160,152,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,same_domain,medium,false,false,false,false,false,Codex provisional: the Line meaning '決定と留保' provides a usable reflective bridge without merely restating the Entry.
E001/L045,E001,L045,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,反対しなかった声も、賛成の中には溶けきらない。,15,15,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '沈黙と立場' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L051,E001,L051,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,直した跡は、間違いがあった場所だけに残る。,18,18,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '修復の痕跡' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L055,E001,L055,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,できなかった一つは、数え方を変える力が強い。,18,18,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '未達成による評価の偏り' provides a usable reflective bridge without merely restating the Entry.
E001/L066,E001,L066,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,手放した場所に、手の形だけがしばらく残る。,12,12,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '手放しの余韻' provides a usable reflective bridge without merely restating the Entry.
E001/L068,E001,L068,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,更新されたものには、更新されなかった部分がよく見える。,41,41,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '変化と残存' provides a usable reflective bridge without merely restating the Entry.
E001/L072,E001,L072,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,消した記録は、消したという記録を残す。,12,12,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '削除の痕跡' provides a usable reflective bridge without merely restating the Entry.
E001/L075,E001,L075,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,なくしたものの大きさは、探した時間にも宿る。,12,12,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '探索時間と価値' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L076,E001,L076,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,終わった線の先にも、同じ紙が続いている。,18,18,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '終結と継続' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L077,E001,L077,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,捨てなかった箱は、まだ決めていない時間を守る。,98,98,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,low,true,false,false,false,false,Codex provisional: the Line meaning '保留された手放し' provides a usable reflective bridge without merely restating the Entry.
E001/L083,E001,L083,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,選んだ一人にも、選ばなかった誰かの気配がある。,188,128,reflective_distance_codex_judgments_v1,codex_reassessment,true,true,just_right,analogical_transfer,high,false,false,false,false,false,案から人物へ領域を移しながら選んだものにも選ばなかったものの気配が残る構造を保つ
E001/L091,E001,L091,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,先の予定をめくる指の下で、今日も一枚になっていく。,4,4,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '未来への注視と現在' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L092,E001,L092,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,待つ時間は、終わる直前に形を変える。,84,84,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '待ち時間の反転' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L095,E001,L095,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,過ぎたあとで長くなる時間もある。,37,37,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '回想による時間変化' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L096,E001,L096,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,順番が来ると、待っていた場所が少し惜しくなる。,2,2,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '待機終了の名残' provides a usable reflective bridge without merely restating the Entry.
E001/L101,E001,L101,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,主語のない期待も、肩には重さを残す。,39,39,b_v2_integrated_codex_judgments_v1,codex_integrated_v1,true,false,too_far,weak_connection,medium,false,false,false,false,false,Unowned expectation and the unchosen alternative share only a broad sense of weight.
E001/L102,E001,L102,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,終えた三つより、始めなかった一つは声が大きい。,761,555,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,Codex provisional: the Line meaning '達成と追加期待' provides a usable reflective bridge without merely restating the Entry.
E001/L105,E001,L105,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,満ちた器にも、次の一滴の場所を探す目がある。,210,210,b_v2_integrated_codex_judgments_v1,codex_integrated_v1,true,true,just_right,analogical_transfer,medium,false,false,false,false,false,The full vessel still looking for another drop maps the chosen option and attention to what remains.
E001/L108,E001,L108,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,余った力と、使わなかった力は同じではない。,30,30,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '余力と自己評価' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E001/L113,E001,L113,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,何もなかった日は、何も壊れなかった日でもある。,30,30,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,not_obserbing,unrelated,high,false,false,false,false,true,Codex provisional: the Line meaning '無事な一日' does not provide a meaningful bridge to the Entry.
E001/L118,E001,L118,二つの案のどちらを選んでも、選ばなかった方が気になりそうだ。,同じ景色を通るたび、同じではないものが増える。,30,30,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,false,too_far,weak_connection,medium,false,false,false,false,false,"Codex provisional: the Line meaning '反復と変化' has a conceivable bridge, but it is too indirect to support the Entry reliably."
E002/L002,E002,L002,"返事は明日まででいいと言われた。
急がなくていいはずなのに、考えるほど何が自分の希望なのかわからなくなる。",決める前より、決めた後の方が道は増えることがある。,4,4,b_v2_band_sensitivity_codex_review_v1,codex_provisional,true,true,just_right,same_domain,low,true,false,false,false,false,Codex provisional: the Line meaning '決定後の展開' provides a usable reflective bridge without merely restating the Entry.
